Transaction ID,Items
1,"chips, milk, cereal"
2,"milk, diapers, bread"
3,"detergent, eggs, toothpaste"
4,"shampoo, milk"
5,"milk, eggs, milk"
6,"eggs, toothpaste, milk, diapers, cereal"
7,"bread, bread, bread, diapers, cereal, diapers"
8,"milk, detergent, milk, clothes, chips"
9,"chips, eggs"
10,"chips, detergent, chips, milk, eggs"
11,"milk, eggs"
12,"eggs, diapers, cereal"
13,"bread, chips, eggs, diapers"
14,"chips, detergent, milk, shampoo, bread, diapers"
15,"diapers, milk, milk, cereal"
16,"milk, bread, bread, chips, bread, chips"
17,"bread, toothpaste, milk"
18,"detergent, milk, diapers, detergent, clothes"
19,"eggs, eggs"
20,"milk, chips, eggs"
