Transaction ID,Items
1,"toothpaste, eggs, cereal, diapers"
2,"bread, toothpaste, bread, milk"
3,"diapers, cereal, chips, bread, eggs"
4,"milk, shampoo"
5,"toothpaste, chips, shampoo"
6,"bread, cereal, detergent"
7,"shampoo, bread, diapers"
8,"eggs, milk, shampoo, detergent, toothpaste, cereal"
9,"eggs, chips, bread"
10,"chips, milk, eggs, diapers, eggs"
11,"shampoo, bread, clothes, diapers"
12,"diapers, chips, milk, shampoo"
13,"chips, chips, cereal, clothes"
14,"chips, milk, shampoo"
15,"clothes, toothpaste, shampoo, eggs"
16,"milk, chips, chips, bread, detergent, cereal"
17,"cereal, detergent"
18,"cereal, chips"
19,"milk, eggs, bread, bread, milk, eggs"
20,"detergent, chips, clothes, diapers"
