Transaction ID,Items
1,"shampoo, toothpaste, eggs, diapers, bread"
2,"milk, clothes, milk"
3,"bread, diapers"
4,"milk, chips, milk"
5,"bread, chips, bread"
6,"chips, bread, detergent, cereal, bread, cereal"
7,"milk, milk, toothpaste"
8,"shampoo, eggs, clothes, detergent, toothpaste, chips"
9,"cereal, detergent, eggs"
10,"bread, bread, shampoo, milk, clothes, milk"
11,"shampoo, bread, chips, eggs, milk, toothpaste"
12,"bread, cereal"
13,"shampoo, milk, cereal, milk, eggs"
14,"toothpaste, diapers, eggs, bread, diapers"
15,"detergent, eggs, clothes"
16,"shampoo, bread, clothes"
17,"milk, detergent, bread, milk"
18,"cereal, detergent, cereal"
19,"cereal, milk, eggs, milk, milk, detergent"
20,"clothes, eggs, diapers, milk, milk, cereal"
